run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
0,.0088951,.0254342,-.0003155,-.000772,6.72e-06,.0000258,-2.69e-09,-7.44e-09
1,.0022934,.0211049,-.0001099,-.0006917,.0000189,.0000334,-5.42e-09,-9.87e-09
2,.0083467,.0596645,-.0004279,-.0014609,5.75e-06,3.82e-06,-5.93e-09,-2.13e-09
3,.0099419,.0133363,-.0004195,-.0004396,5.58e-06,.0000336,1.76e-10,-1.04e-08
4,.0059892,.0208778,-.0001626,-.0006404,.0000105,.0000379,1.64e-11,-1.01e-08
5,.0099298,.0261941,-.0003262,-.0007059,-5.83e-06,.0000345,-2.51e-10,-1.09e-08
6,.0049708,.0521404,-.0000878,-.0013322,.0000177,9.36e-06,-5.11e-09,-2.28e-09
7,.0120154,.0779259,-.0005185,-.0017798,-1.26e-06,.0000246,5.05e-09,-7.23e-09
8,.0133793,.0060538,-.0004857,-.0003268,3.28e-06,.0000406,2.34e-11,-1.38e-08
9,.005207,.0405065,-.0001716,-.001157,.000016,.0000436,-5.82e-09,-1.11e-08
10,.0125558,.0159711,-.0007429,-.000629,-.0000183,.0000128,2.21e-09,-3.13e-09
11,.0083375,.048458,-.0004653,-.0011504,7.36e-06,.0000411,-2.25e-09,-1.20e-08
12,.0050936,.052051,-.0001439,-.0013864,.0000404,.0000367,-1.12e-08,-8.43e-09
13,.0199821,.0491887,-.0006966,-.0012903,-6.77e-06,.000037,-3.09e-09,-1.23e-08
14,.0144564,.0053371,-.000593,-.0003922,-.0000309,7.69e-06,1.05e-08,-2.95e-09
15,.0054036,.0148818,-.0001359,-.0006566,-3.97e-06,8.71e-06,1.81e-09,-4.72e-09
16,.004533,.0119843,-.0001935,-.0004767,9.54e-06,.0000265,-2.25e-10,-6.80e-09
17,.0143748,.0432739,-.0004803,-.0010955,.000022,.0000451,-7.21e-09,-1.35e-08
18,.0152182,.0441989,-.0004695,-.0014119,.0000103,-7.89e-06,-3.84e-09,1.04e-09
19,.0078364,.0408766,-.0001424,-.0010875,2.20e-06,.0000225,-7.33e-11,-6.23e-09
20,.0044081,.0301016,-.000102,-.0009131,.0000361,.0000217,-9.46e-09,-6.39e-09
21,.0011769,.0291607,-.0000264,-.0007359,9.89e-06,.0000181,-3.60e-09,-6.87e-09
22,.0158193,.0181755,-.0004356,-.0007298,.0000145,6.43e-06,-5.86e-09,-2.12e-09
23,.0047121,.0160661,-.0000879,-.0006533,-8.32e-07,.0000168,-6.58e-10,-6.22e-09
24,.0112032,.0257546,-.0004034,-.000802,-4.39e-07,.0000359,-4.03e-09,-1.02e-08
25,.0095703,.0400575,-.0002451,-.0010876,-.0000112,.0000323,4.26e-10,-9.37e-09
26,.0146996,.0501783,-.0004964,-.001326,.0000105,.0000222,-3.83e-09,-7.27e-09
27,.0094705,.0601118,-.0003515,-.0017555,-6.95e-06,.0000247,1.46e-09,-5.12e-09
28,.003231,.0286242,-.0001208,-.0008644,.0000178,.00003,-3.47e-09,-6.39e-09
29,.0074408,.0377405,-.0003446,-.0011294,5.84e-06,.000035,-6.48e-09,-8.20e-09
30,.0028527,.0180306,-.0002422,-.00073,3.49e-06,.0000316,-8.88e-10,-7.72e-09
31,.0125364,.0085851,-.0005328,-.0004653,7.32e-06,.0000204,-2.35e-09,-6.75e-09
32,.0039819,.0373709,-.0001989,-.0011457,5.97e-06,.0000262,-2.45e-09,-9.73e-09
33,.0130116,.0433313,-.0003388,-.0010737,.0000116,.0000263,-2.90e-09,-6.68e-09
34,.0032333,.0421714,-.0000545,-.001038,.0000154,.0000196,-4.49e-09,-5.81e-09
35,.0119015,.0127023,-.0004657,-.000589,5.79e-06,.0000312,-6.34e-10,-1.02e-08
36,.0064954,-.0077322,-.000298,-.0001851,-3.32e-06,.0000207,6.69e-10,-4.35e-09
37,.0076184,.020094,-.0005368,-.0007191,-3.10e-06,.000035,9.43e-10,-8.54e-09
38,.0138356,.0335673,-.0005108,-.0009156,.0000297,.0000265,-1.11e-08,-7.25e-09
39,.0051915,.0181007,-.000142,-.0007159,6.25e-06,.0000287,-2.54e-09,-8.63e-09
40,.0028029,.0088183,-.0001759,-.0003816,.0000153,.0000414,-2.37e-09,-1.13e-08
41,.013939,.0659207,-.0004774,-.0017158,1.55e-07,.0000196,-1.18e-09,-4.48e-09
42,.0118248,.0362866,-.0004973,-.0009655,8.76e-06,.0000466,-3.47e-09,-1.43e-08
43,.0142973,.0092685,-.0004935,-.0004774,-.000016,.0000108,-1.44e-09,-4.79e-09
44,.0076172,.0008587,-.0003608,-.0002088,.0000208,.0000298,-5.00e-09,-7.09e-09
45,.0160497,.0746504,-.0005747,-.0016987,-8.14e-06,.0000343,3.30e-09,-8.64e-09
46,.0104414,.0395013,-.000227,-.0009798,-.0000207,.0000383,1.78e-09,-1.06e-08
47,.0080525,.0328941,-.0001927,-.0009075,.0000315,1.69e-06,-7.66e-09,-3.64e-09
48,.014534,.0408363,-.0004509,-.0010225,-7.60e-06,.0000436,2.34e-09,-1.22e-08
49,-.0008082,.0253803,.0000988,-.000723,-.0000194,.0000119,8.30e-09,-2.90e-09
50,.0090463,.027775,-.0003258,-.0007028,.0000103,.0000443,-2.38e-09,-1.33e-08
51,.0053028,.0267952,-.0000486,-.0009531,.0000301,.0000329,-9.88e-09,-8.50e-09
52,.0072595,.0323291,-.0003451,-.0009189,.0000329,.0000613,-8.92e-09,-1.65e-08
53,.0139262,.0331005,-.0004492,-.0010123,.0000191,.0000485,-7.40e-09,-1.46e-08
54,.0066768,.0294519,-.0002174,-.0008228,.0000269,3.06e-06,-8.18e-09,7.50e-11
55,.0148985,.0268877,-.0005153,-.0006528,-1.86e-06,.0000464,-4.37e-09,-1.60e-08
56,.0119672,.008578,-.0003403,-.0004101,.0000147,.0000231,-4.72e-09,-7.64e-09
57,.0046881,-.002761,-.0002146,-.0001808,.0000122,.0000208,-4.29e-09,-6.27e-09
58,.0215099,.0172135,-.000711,-.0005548,.0000145,.0000165,-3.25e-09,-4.07e-09
59,.0083833,.0313188,-.0001298,-.0009147,.0000309,.0000249,-9.74e-09,-9.70e-09
60,.0039281,.0142242,-.0001412,-.0005288,4.15e-06,.0000242,-1.52e-10,-6.57e-09
61,.0105125,.0141659,-.0003317,-.0005096,1.77e-06,.0000237,1.58e-09,-9.12e-09
62,.0100108,.0063379,-.0003599,-.0003538,.0000136,.0000284,-6.29e-09,-8.27e-09
63,.0074781,.0032329,-.0003109,-.0001092,-3.43e-06,.0000239,1.04e-09,-8.04e-09
64,.0138392,.0477617,-.000507,-.001235,-3.39e-06,9.85e-06,1.16e-09,-5.90e-09
65,.0091024,.0261976,-.000198,-.0007604,7.91e-06,.0000221,-2.36e-09,-7.30e-09
66,-.0027134,-.0008659,-.0000282,-.0001572,8.95e-06,.0000409,-1.64e-09,-1.40e-08
67,.0098461,.0267302,-.0003489,-.0006488,-9.75e-07,.000014,-1.17e-10,-3.49e-09
68,.0202758,.040728,-.0006832,-.0009208,-3.54e-07,.0000571,5.67e-10,-1.45e-08
69,.0138255,.0290858,-.0007856,-.0008334,.0000146,.0000309,5.42e-10,-8.21e-09
70,.0121809,.0393662,-.0003734,-.0011397,-2.66e-06,.0000287,-7.54e-11,-8.35e-09
71,.0139939,.0534873,-.0004549,-.001307,-4.36e-06,.0000132,7.91e-10,-4.79e-09
72,.0109378,.0024103,-.0003745,-.0002584,5.44e-07,.0000292,-7.92e-10,-8.79e-09
73,.0105294,.0419857,-.000542,-.0009841,-.0000136,.0000196,5.47e-10,-5.92e-09
74,.0074056,.0163405,-.0003236,-.000484,6.36e-06,.000031,-4.66e-09,-1.03e-08
75,.0032439,.009095,-.0001792,-.0003344,9.31e-06,.0000399,-2.31e-09,-8.45e-09
76,.0044908,.0306674,-.000131,-.0009343,-.0000135,.0000214,-2.85e-09,-5.61e-09
77,.0192437,.0338543,-.0007716,-.0009978,.0000266,.0000187,-1.14e-08,-5.55e-09
78,.0115305,.0197196,-.000367,-.0005038,.000012,.0000228,-2.22e-09,-7.75e-09
79,.0051037,.0238485,-.0001375,-.0007485,-9.26e-06,.0000256,6.79e-10,-6.89e-09
