run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
0,.0098838,-.0019212,-.0089955,-.0008384,-.0059216,-.0244474,-.0034452,.0044976,.0002397,-.0027357,.0055469,.0068451,-.0004408,-.0002106,.0003598,.0001585,.0001785,.0004557,.0000125,-.0002388,5.56e-06,.0001995,-.0001374,-.000213,-.0026918,-.0186,-.000022,.0001513
1,.0024268,-.0201862,-.0096461,-.0024802,-.0067971,-.0239801,-.0035053,-.0037209,-.0006341,-.0095424,.0106399,.0054117,-.0001465,.000153,.0003431,.0002324,.000188,.000458,.0000506,-.0000491,.0000937,.0002031,-.0003013,-.0001025,-.0075159,-.0544982,.0002277,.0008948
2,.008958,.0058198,-.0081218,.010208,-.0089975,-.0036921,-.0044683,-.0044523,-.0002075,-.0072064,.0036117,-.00744,-.0005892,-.0003063,.0002734,-.0000372,.0002044,.0002315,.0000479,-.0000209,-.0002484,.0003267,-.0000316,.0000702,-.0092254,-.006763,-.0003434,.0002641
3,.0123803,-.0199341,-.0071158,-.0104255,-.0062126,-.0212498,-.0031224,-.0109959,.0037563,-.01086,.0046428,.0016077,-.0005316,.0002536,.000186,.0004193,.0001418,.0003778,.0001098,.0001308,-.0000851,.0005032,.0000181,-.0001028,.0043285,-.0718577,-.000161,.0015819
4,.0033796,.003732,-.0104144,-.0087357,-.0093009,-.0275399,-.0078119,-.0140122,-.0017699,-.0029351,.0046935,.0129542,-.0001236,-.0002529,.0003588,.0002945,.0002262,.0005264,.0002336,.0001941,.0000357,.0001732,-.0000605,-.0003798,-.021224,-.0365368,.0006701,.0005555
5,.0100635,.0073188,-.0035987,-.0088124,-.0071425,.0000496,-.015522,-.0093298,.010523,.0132076,.0077177,.0060061,-.0003807,-.0003397,.0001993,.0003194,.0002503,-.0000513,.0006259,.0000996,-.0003643,-.0001431,-.0002078,-.0001802,.002041,.00844,.0001228,-.0002953
6,.0070018,.0294331,-.0126147,-.000719,-.0088791,-.0033341,.002114,-.0157041,.0020845,.0034301,-.0007678,-.0019302,-.0002691,-.0008674,.0005007,.0001264,.0001722,-.0000353,-.0001452,.0002561,-.0000735,1.87e-07,-5.96e-06,-.0000115,-.0110612,.0111759,.000179,-.0005315
7,.0137232,.0256587,-.0110977,.0473058,-.0011025,-.0093533,-.0035061,.0400119,.01303,-.0002642,-.0012076,-.0121731,-.000628,-.0007351,.0004289,-.0007987,-.0000546,.0001153,.0000211,-.0010284,-.0004343,.000044,.0000631,.0001709,.0098394,.0911858,-.0006038,-.0022319
8,.0162413,-.0188876,-.0025017,-.0003288,-.003912,-.0511411,.0032272,.0106899,-.0019893,-.0134711,-.0047672,.0094364,-.000677,.0002067,.0001619,.0000697,.0003326,.0010812,-.0002475,-.0004622,.0002718,.0005799,.0003317,-.0004109,.0062983,-.0637023,.0001734,.0010644
9,.0048026,.0149911,-.0067357,-.0047247,-.0043404,-.0147744,-.0015997,.0053724,-.003567,.0060244,.0084092,.0063098,-.0002112,-.0005721,.0003088,.0001676,.0002018,.0002214,-.000039,-.0001607,.0002227,-.0000696,-.0002401,-.0001423,-.0030309,.0131987,.000243,-.0005555
10,.0115964,-.0004922,-.0072878,.0080698,-.0005367,-.0495672,-.0081374,.0093303,.0001783,-.0047586,.0010619,.0124832,-.0007731,-.0003173,.0002699,.0000422,-.0000278,.0009067,.0002525,-.0003169,-.0001372,.0001228,.0001208,-.0002675,-.0031253,-.0249347,-.000295,.0001701
11,.0066092,-.000067,-.0071115,.0105294,-.0041269,-.0048332,-.0027108,.0255306,-.0044648,-.0030413,.0006555,.0035448,-.0005398,-.0001353,.0002418,-.0000975,.0002408,.0000244,-.0000718,-.0007046,.0001615,.0000317,.0000775,-.0000734,-.0111493,.0316633,.00011,-.0009547
12,.0061398,.0235109,-.0121201,-.0095345,-.0164824,.0084045,-.0101999,-.011632,.0006982,.0064966,.021626,-.0015136,-.0002325,-.0007838,.0003101,.0003376,.0004987,-.0001333,.0001472,.0000869,-.0001,-.000052,-.0007229,-.0000485,-.0103383,.0157319,-.0000994,-.0005931
